timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591767535359,662,标记任务开始,200,OK,线程组 1-1,text,true,,9,0,1,1,null,662,0,659
1591767536023,18,获取账号,200,OK,线程组 1-1,text,true,,18,0,1,1,null,16,0,0
1591767536041,11,锁定账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,11,0,0
1591767536052,99,获取仓库及会员信息,200,OK,线程组 1-1,text,true,,113,0,1,1,null,97,0,0
1591767536157,4,获取oms配置信息,200,OK,线程组 1-1,text,true,,34,0,1,1,null,4,0,0
1591767536162,2,获取wi配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,1,0,0
1591767536164,3,获取basic配置信息,200,OK,线程组 1-1,text,true,,46,0,1,1,null,3,0,0
1591767536167,5,获取os配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,5,0,0
1591767536172,3,获取opw配置信息,200,OK,线程组 1-1,text,true,,38,0,1,1,null,3,0,1
1591767536175,2,获取op配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,2,0,0
1591767536178,4,获取opr配置信息,200,OK,线程组 1-1,text,true,,38,0,1,1,null,4,0,0
1591767536183,7,获取master配置信息,200,OK,线程组 1-1,text,true,,41,0,1,1,null,6,0,0
1591767536190,27,获取so配置信息,200,OK,线程组 1-1,text,true,,37,0,1,1,null,27,0,0
1591767536217,5,获取Strategy配置信息,200,OK,线程组 1-1,text,true,,43,0,1,1,null,5,0,0
1591767536222,9,获取capacity配置信息,200,OK,线程组 1-1,text,true,,43,0,1,1,null,9,0,0
1591767536445,267,登陆,200,OK,线程组 1-1,text,true,,92286,1642,1,1,http://cloud.basic.fineex.net/Home/Index,159,0,96
1591767536445,159,登陆-0,302,Found,线程组 1-1,text,true,,1187,764,1,1,http://cloud.basic.fineex.net/Login,159,0,96
1591767536616,96,登陆-1,200,OK,线程组 1-1,text,true,,91099,878,1,1,http://cloud.basic.fineex.net/Home/Index,68,0,0
1591767536718,91,常用分拣查询,200,OK,线程组 1-1,text,true,,847,1450,1,1,http://cloud.wms.os.b1.fineex.net/Order/CommonBuying/Query,91,0,17
1591767536810,39,创建单SKU波次,200,OK,线程组 1-1,text,true,,698,2022,1,1,http://cloud.wms.os.b1.fineex.net/Order/CommonBuying/SaveBatchOrder,39,0,0
1591767536852,7,释放登陆账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,7,0,0
1591767536879,6,标记任务结果,200,OK,线程组 1-1,text,true,,9,0,1,1,null,6,0,0
1591767536885,2,变更任务状态,200,OK,线程组 1-1,text,true,,9,0,1,1,null,2,0,0
