timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591767535347,657,标记任务开始,200,OK,线程组 1-1,text,true,,9,0,1,1,null,657,0,655
1591767536004,5,获取账号,200,OK,线程组 1-1,text,true,,18,0,1,1,null,4,0,0
1591767536009,26,锁定账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,26,0,0
1591767536036,10,获取仓库及会员信息,200,OK,线程组 1-1,text,true,,113,0,1,1,null,9,0,0
1591767536147,2,获取oms配置信息,200,OK,线程组 1-1,text,true,,34,0,1,1,null,2,0,0
1591767536149,3,获取wi配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,2,0,0
1591767536152,3,获取basic配置信息,200,OK,线程组 1-1,text,true,,46,0,1,1,null,2,0,0
1591767536155,2,获取os配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,1,0,0
1591767536157,1,获取opw配置信息,200,OK,线程组 1-1,text,true,,38,0,1,1,null,1,0,0
1591767536159,2,获取op配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,2,0,0
1591767536162,1,获取opr配置信息,200,OK,线程组 1-1,text,true,,38,0,1,1,null,1,0,0
1591767536164,6,获取master配置信息,200,OK,线程组 1-1,text,true,,41,0,1,1,null,6,0,0
1591767536170,3,获取so配置信息,200,OK,线程组 1-1,text,true,,37,0,1,1,null,3,0,0
1591767536173,2,获取Strategy配置信息,200,OK,线程组 1-1,text,true,,43,0,1,1,null,2,0,0
1591767536176,2,获取capacity配置信息,200,OK,线程组 1-1,text,true,,43,0,1,1,null,1,0,0
1591767536412,301,登陆,200,OK,线程组 1-1,text,true,,92286,1642,1,1,http://cloud.basic.fineex.net/Home/Index,163,0,101
1591767536412,163,登陆-0,302,Found,线程组 1-1,text,true,,1187,764,1,1,http://cloud.basic.fineex.net/Login,163,0,101
1591767536581,132,登陆-1,200,OK,线程组 1-1,text,true,,91099,878,1,1,http://cloud.basic.fineex.net/Home/Index,96,0,0
1591767536717,113,常用分拣查询,200,OK,线程组 1-1,text,true,,847,1450,1,1,http://cloud.wms.os.b1.fineex.net/Order/CommonBuying/Query,113,0,10
1591767536831,45,创建笼车波次,200,OK,线程组 1-1,text,true,,698,2022,1,1,http://cloud.wms.os.b1.fineex.net/Order/CommonBuying/SaveBatchOrder,45,0,0
1591767536879,9,释放登陆账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,9,0,0
1591767536905,8,标记任务结果,200,OK,线程组 1-1,text,true,,9,0,1,1,null,8,0,0
1591767536913,2,变更任务状态,200,OK,线程组 1-1,text,true,,9,0,1,1,null,2,0,0
